[1/10000]: param_kd=01, param_n=01, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[7475/10000]: param_kd=08, param_n=07, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[7476/10000]: param_kd=08, param_n=09, param_alpha=08, param_delta=0.400 -> accuracy=0.4
[7477/10000]: param_kd=09, param_n=01, param_alpha=03, param_delta=0.800 -> accuracy=0.4
[7478/10000]: param_kd=08, param_n=03, param_alpha=01, param_delta=0.900 -> accuracy=0.4
[7479/10000]: param_kd=08, param_n=05, param_alpha=08, param_delta=0.600 -> accuracy=0.4
[7480/10000]: param_kd=08, param_n=07, param_alpha=01, param_delta=0.200 -> accuracy=0.4
[7481/10000]: param_kd=08, param_n=09, param_alpha=08, param_delta=0.500 -> accuracy=0.4
[7482/10000]: param_kd=08, param_n=01, param_alpha=03, param_delta=0.500 -> accuracy=0.4
[7483/10000]: param_kd=09, param_n=02, param_alpha=08, param_delta=0.000 -> accuracy=0.4
[7484/10000]: param_kd=07, param_n=09, param_alpha=08, param_delta=0.900 -> accuracy=0.4
[7485/10000]: param_kd=08, param_n=07, param_alpha=01, param_delta=0.300 -> accuracy=0.4
[7486/10000]: param_kd=07, param_n=08, param_alpha=04, param_delta=0.600 -> accuracy=0.4
[7487/10000]: param_kd=06, param_n=08, param_alpha=10, param_delta=0.700 -> accuracy=0.4
[7488/10000]: param_kd=08, param_n=09, param_alpha=08, param_delta=0.600 -> accuracy=0.4
[7489/10000]: param_kd=08, param_n=04, param_alpha=05, param_delta=0.100 -> accuracy=0.4
[7490/10000]: param_kd=06, param_n=05, param_alpha=10, param_delta=0.200 -> accuracy=1.0
[7491/10000]: param_kd=08, param_n=08, param_alpha=05, param_delta=0.400 -> accuracy=0.4
[7492/10000]: param_kd=08, param_n=07, param_alpha=01, param_delta=0.400 -> accuracy=0.4
[7493/10000]: param_kd=06, param_n=10, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[7494/10000]: param_kd=09, param_n=04, param_alpha=03, param_delta=0.300 -> accuracy=0.4
[7495/10000]: param_kd=08, param_n=03, param_alpha=02, param_delta=0.000 -> accuracy=0.4
[7496/10000]: param_kd=09, param_n=01, param_alpha=03, param_delta=0.900 -> accuracy=0.4
[7497/10000]: param_kd=07, param_n=06, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[7498/10000]: param_kd=08, param_n=09, param_alpha=08, param_delta=0.700 -> accuracy=0.4
[7499/10000]: param_kd=08, param_n=07, param_alpha=01, param_delta=0.500 -> accuracy=0.4
[7500/10000]: param_kd=08, param_n=01, param_alpha=03, param_delta=0.600 -> accuracy=0.4
[7501/10000]: param_kd=08, param_n=05, param_alpha=08, param_delta=0.700 -> accuracy=0.4
[7502/10000]: param_kd=09, param_n=02, param_alpha=08, param_delta=0.100 -> accuracy=0.4
[7503/10000]: param_kd=08, param_n=09, param_alpha=08, param_delta=0.800 -> accuracy=0.4
[7504/10000]: param_kd=08, param_n=07, param_alpha=01, param_delta=0.600 -> accuracy=0.4
[7505/10000]: param_kd=08, param_n=03, param_alpha=02, param_delta=0.100 -> accuracy=0.4
[7506/10000]: param_kd=08, param_n=04, param_alpha=05, param_delta=0.200 -> accuracy=0.4
[7507/10000]: param_kd=07, param_n=08, param_alpha=04, param_delta=0.700 -> accuracy=0.4
[7508/10000]: param_kd=09, param_n=01, param_alpha=04, param_delta=0.000 -> accuracy=0.4
[7509/10000]: param_kd=07, param_n=09, param_alpha=09, param_delta=0.000 -> accuracy=0.4
[7510/10000]: param_kd=06, param_n=08, param_alpha=10, param_delta=0.800 -> accuracy=0.4
[7511/10000]: param_kd=08, param_n=08, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[7512/10000]: param_kd=07, param_n=06, param_alpha=09, param_delta=0.600 -> accuracy=0.4
[7513/10000]: param_kd=09, param_n=04, param_alpha=03, param_delta=0.400 -> accuracy=0.4
[7514/10000]: param_kd=06, param_n=05, param_alpha=10, param_delta=0.300 -> accuracy=1.0
[7515/10000]: param_kd=08, param_n=07, param_alpha=01, param_delta=0.700 -> accuracy=0.4
[7516/10000]: param_kd=08, param_n=01, param_alpha=03, param_delta=0.700 -> accuracy=0.4
[7517/10000]: param_kd=06, param_n=10, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[7518/10000]: param_kd=09, param_n=02, param_alpha=08, param_delta=0.200 -> accuracy=0.4
[7519/10000]: param_kd=08, param_n=05, param_alpha=08, param_delta=0.800 -> accuracy=0.4
[7520/10000]: param_kd=09, param_n=01, param_alpha=04, param_delta=0.100 -> accuracy=0.4
[7521/10000]: param_kd=07, param_n=08, param_alpha=04, param_delta=0.800 -> accuracy=0.4
[7522/10000]: param_kd=08, param_n=09, param_alpha=08, param_delta=0.900 -> accuracy=0.4
[7523/10000]: param_kd=08, param_n=04, param_alpha=05, param_delta=0.300 -> accuracy=0.4
[7524/10000]: param_kd=08, param_n=03, param_alpha=02, param_delta=0.200 -> accuracy=0.4
[7525/10000]: param_kd=08, param_n=07, param_alpha=01, param_delta=0.800 -> accuracy=0.4
[7526/10000]: param_kd=08, param_n=01, param_alpha=03, param_delta=0.800 -> accuracy=0.4
[7527/10000]: param_kd=09, param_n=04, param_alpha=03, param_delta=0.500 -> accuracy=0.4
[7528/10000]: param_kd=08, param_n=08, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[7529/10000]: param_kd=06, param_n=08, param_alpha=10, param_delta=0.900 -> accuracy=0.4
[7530/10000]: param_kd=07, param_n=06, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[7531/10000]: param_kd=07, param_n=09, param_alpha=09, param_delta=0.100 -> accuracy=1.0
[7532/10000]: param_kd=09, param_n=02, param_alpha=08, param_delta=0.300 -> accuracy=0.4
[7533/10000]: param_kd=09, param_n=01, param_alpha=04, param_delta=0.200 -> accuracy=0.4
[7534/10000]: param_kd=08, param_n=07, param_alpha=01, param_delta=0.900 -> accuracy=0.4
[7535/10000]: param_kd=06, param_n=05, param_alpha=10, param_delta=0.400 -> accuracy=0.4
[7536/10000]: param_kd=07, param_n=08, param_alpha=04, param_delta=0.900 -> accuracy=0.4
[7537/10000]: param_kd=08, param_n=05, param_alpha=08, param_delta=0.900 -> accuracy=0.4
[7538/10000]: param_kd=06, param_n=09, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[7539/10000]: param_kd=08, param_n=09, param_alpha=09, param_delta=0.000 -> accuracy=0.4
[7540/10000]: param_kd=06, param_n=10, param_alpha=06, param_delta=0.600 -> accuracy=0.4
[7541/10000]: param_kd=08, param_n=04, param_alpha=05, param_delta=0.400 -> accuracy=0.4
[7542/10000]: param_kd=08, param_n=01, param_alpha=03, param_delta=0.900 -> accuracy=0.4
[7543/10000]: param_kd=06, param_n=09, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[7544/10000]: param_kd=08, param_n=03, param_alpha=02, param_delta=0.300 -> accuracy=0.4
[7545/10000]: param_kd=08, param_n=07, param_alpha=02, param_delta=0.000 -> accuracy=0.4
[7546/10000]: param_kd=09, param_n=04, param_alpha=03, param_delta=0.600 -> accuracy=0.4
[7547/10000]: param_kd=09, param_n=01, param_alpha=04, param_delta=0.300 -> accuracy=0.4
[7548/10000]: param_kd=06, param_n=09, param_alpha=01, param_delta=0.200 -> accuracy=0.4
[7549/10000]: param_kd=09, param_n=02, param_alpha=08, param_delta=0.400 -> accuracy=0.4
[7550/10000]: param_kd=08, param_n=08, param_alpha=05, param_delta=0.700 -> accuracy=0.4
[7551/10000]: param_kd=07, param_n=06, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[7552/10000]: param_kd=07, param_n=08, param_alpha=05, param_delta=0.000 -> accuracy=0.4
[7553/10000]: param_kd=08, param_n=05, param_alpha=09, param_delta=0.000 -> accuracy=0.4
[7554/10000]: param_kd=09, param_n=05, param_alpha=08, param_delta=0.800 -> accuracy=0.4
[7555/10000]: param_kd=08, param_n=01, param_alpha=04, param_delta=0.000 -> accuracy=0.4
[7556/10000]: param_kd=08, param_n=07, param_alpha=02, param_delta=0.100 -> accuracy=0.4
[7557/10000]: param_kd=06, param_n=09, param_alpha=01, param_delta=0.300 -> accuracy=0.4
[7558/10000]: param_kd=08, param_n=09, param_alpha=09, param_delta=0.100 -> accuracy=0.4
[7559/10000]: param_kd=08, param_n=04, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[7560/10000]: param_kd=09, param_n=04, param_alpha=03, param_delta=0.700 -> accuracy=0.4
[7561/10000]: param_kd=07, param_n=09, param_alpha=09, param_delta=0.200 -> accuracy=1.0
[7562/10000]: param_kd=06, param_n=10, param_alpha=06, param_delta=0.700 -> accuracy=0.4
[7563/10000]: param_kd=06, param_n=09, param_alpha=01, param_delta=0.400 -> accuracy=0.4
[7564/10000]: param_kd=09, param_n=01, param_alpha=04, param_delta=0.400 -> accuracy=0.4
[7565/10000]: param_kd=08, param_n=03, param_alpha=02, param_delta=0.400 -> accuracy=0.4
[7566/10000]: param_kd=09, param_n=02, param_alpha=08, param_delta=0.500 -> accuracy=0.4
[7567/10000]: param_kd=08, param_n=07, param_alpha=02, param_delta=0.200 -> accuracy=0.4
[7568/10000]: param_kd=07, param_n=08, param_alpha=05, param_delta=0.100 -> accuracy=0.4
[7569/10000]: param_kd=08, param_n=01, param_alpha=04, param_delta=0.100 -> accuracy=0.4
[7570/10000]: param_kd=08, param_n=08, param_alpha=05, param_delta=0.800 -> accuracy=0.4
[7571/10000]: param_kd=07, param_n=06, param_alpha=09, param_delta=0.900 -> accuracy=0.4
[7572/10000]: param_kd=08, param_n=05, param_alpha=09, param_delta=0.100 -> accuracy=0.4
[7573/10000]: param_kd=09, param_n=05, param_alpha=08, param_delta=0.900 -> accuracy=0.4
[7574/10000]: param_kd=08, param_n=09, param_alpha=09, param_delta=0.200 -> accuracy=0.4
[7575/10000]: param_kd=06, param_n=09, param_alpha=01, param_delta=0.500 -> accuracy=0.4
[7576/10000]: param_kd=07, param_n=06, param_alpha=10, param_delta=0.000 -> accuracy=0.4
[7577/10000]: param_kd=09, param_n=04, param_alpha=03, param_delta=0.800 -> accuracy=0.4
[7578/10000]: param_kd=08, param_n=04, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[7579/10000]: param_kd=09, param_n=01, param_alpha=04, param_delta=0.500 -> accuracy=0.4
[7580/10000]: param_kd=09, param_n=05, param_alpha=09, param_delta=0.000 -> accuracy=0.4
[7581/10000]: param_kd=08, param_n=03, param_alpha=02, param_delta=0.500 -> accuracy=0.4
[7582/10000]: param_kd=08, param_n=07, param_alpha=02, param_delta=0.300 -> accuracy=0.4
[7583/10000]: param_kd=09, param_n=02, param_alpha=08, param_delta=0.600 -> accuracy=0.4
[7584/10000]: param_kd=07, param_n=06, param_alpha=10, param_delta=0.100 -> accuracy=0.4
[7585/10000]: param_kd=06, param_n=10, param_alpha=06, param_delta=0.800 -> accuracy=0.4
[7586/10000]: param_kd=08, param_n=01, param_alpha=04, param_delta=0.200 -> accuracy=0.4
[7587/10000]: param_kd=09, param_n=05, param_alpha=09, param_delta=0.100 -> accuracy=0.4
[7588/10000]: param_kd=08, param_n=08, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[7589/10000]: param_kd=07, param_n=06, param_alpha=10, param_delta=0.200 -> accuracy=0.4
[7590/10000]: param_kd=06, param_n=09, param_alpha=01, param_delta=0.600 -> accuracy=0.4
[7591/10000]: param_kd=07, param_n=09, param_alpha=09, param_delta=0.300 -> accuracy=0.4
[7592/10000]: param_kd=09, param_n=05, param_alpha=09, param_delta=0.200 -> accuracy=0.4
[7593/10000]: param_kd=09, param_n=04, param_alpha=03, param_delta=0.900 -> accuracy=0.4
[7594/10000]: param_kd=09, param_n=01, param_alpha=04, param_delta=0.600 -> accuracy=0.4
[7595/10000]: param_kd=08, param_n=05, param_alpha=09, param_delta=0.200 -> accuracy=0.4
[7596/10000]: param_kd=07, param_n=06, param_alpha=10, param_delta=0.300 -> accuracy=0.4
[7597/10000]: param_kd=07, param_n=08, param_alpha=05, param_delta=0.200 -> accuracy=0.4
[7598/10000]: param_kd=08, param_n=07, param_alpha=02, param_delta=0.400 -> accuracy=0.4
[7599/10000]: param_kd=09, param_n=05, param_alpha=09, param_delta=0.300 -> accuracy=0.4
[7600/10000]: param_kd=08, param_n=03, param_alpha=02, param_delta=0.600 -> accuracy=0.4
[7601/10000]: param_kd=08, param_n=04, param_alpha=05, param_delta=0.700 -> accuracy=0.4
[7602/10000]: param_kd=08, param_n=01, param_alpha=04, param_delta=0.300 -> accuracy=0.4
[7603/10000]: param_kd=08, param_n=09, param_alpha=09, param_delta=0.300 -> accuracy=0.4
[7604/10000]: param_kd=09, param_n=02, param_alpha=08, param_delta=0.700 -> accuracy=0.4
[7605/10000]: param_kd=06, param_n=09, param_alpha=01, param_delta=0.700 -> accuracy=0.4
[7606/10000]: param_kd=09, param_n=05, param_alpha=09, param_delta=0.400 -> accuracy=0.4
[7607/10000]: param_kd=06, param_n=10, param_alpha=06, param_delta=0.900 -> accuracy=0.4
[7608/10000]: param_kd=08, param_n=08, param_alpha=06, param_delta=0.000 -> accuracy=0.4
[7609/10000]: param_kd=09, param_n=01, param_alpha=04, param_delta=0.700 -> accuracy=0.4
[7610/10000]: param_kd=09, param_n=04, param_alpha=04, param_delta=0.000 -> accuracy=0.4
[7611/10000]: param_kd=09, param_n=05, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[7612/10000]: param_kd=09, param_n=07, param_alpha=04, param_delta=0.500 -> accuracy=0.4
[7613/10000]: param_kd=08, param_n=07, param_alpha=02, param_delta=0.500 -> accuracy=0.4
[7614/10000]: param_kd=08, param_n=03, param_alpha=02, param_delta=0.700 -> accuracy=0.4
[7615/10000]: param_kd=09, param_n=02, param_alpha=08, param_delta=0.800 -> accuracy=0.4
[7616/10000]: param_kd=08, param_n=01, param_alpha=04, param_delta=0.400 -> accuracy=0.4
[7617/10000]: param_kd=09, param_n=05, param_alpha=09, param_delta=0.600 -> accuracy=0.4
[7618/10000]: param_kd=08, param_n=05, param_alpha=09, param_delta=0.300 -> accuracy=0.4
[7619/10000]: param_kd=06, param_n=09, param_alpha=01, param_delta=0.800 -> accuracy=0.4
[7620/10000]: param_kd=07, param_n=09, param_alpha=09, param_delta=0.400 -> accuracy=0.4
[7621/10000]: param_kd=07, param_n=08, param_alpha=05, param_delta=0.300 -> accuracy=0.4
[7622/10000]: param_kd=09, param_n=05, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[7623/10000]: param_kd=08, param_n=08, param_alpha=06, param_delta=0.100 -> accuracy=0.4
[7624/10000]: param_kd=08, param_n=09, param_alpha=09, param_delta=0.400 -> accuracy=0.4
[7625/10000]: param_kd=09, param_n=01, param_alpha=04, param_delta=0.800 -> accuracy=0.4
[7626/10000]: param_kd=08, param_n=04, param_alpha=05, param_delta=0.800 -> accuracy=0.4
[7627/10000]: param_kd=09, param_n=04, param_alpha=04, param_delta=0.100 -> accuracy=0.4
[7628/10000]: param_kd=06, param_n=10, param_alpha=07, param_delta=0.000 -> accuracy=0.4
[7629/10000]: param_kd=08, param_n=07, param_alpha=02, param_delta=0.600 -> accuracy=0.4
[7630/10000]: param_kd=09, param_n=07, param_alpha=04, param_delta=0.600 -> accuracy=0.4
[7631/10000]: param_kd=08, param_n=03, param_alpha=02, param_delta=0.800 -> accuracy=0.4
[7632/10000]: param_kd=08, param_n=01, param_alpha=04, param_delta=0.500 -> accuracy=0.4
[7633/10000]: param_kd=09, param_n=02, param_alpha=08, param_delta=0.900 -> accuracy=0.4
[7634/10000]: param_kd=09, param_n=01, param_alpha=04, param_delta=0.900 -> accuracy=0.4
[7635/10000]: param_kd=09, param_n=02, param_alpha=09, param_delta=0.000 -> accuracy=0.4
[7636/10000]: param_kd=08, param_n=05, param_alpha=09, param_delta=0.400 -> accuracy=0.4
[7637/10000]: param_kd=07, param_n=08, param_alpha=05, param_delta=0.400 -> accuracy=0.4
[7638/10000]: param_kd=09, param_n=08, param_alpha=10, param_delta=0.200 -> accuracy=0.4
[7639/10000]: param_kd=08, param_n=07, param_alpha=02, param_delta=0.700 -> accuracy=0.4
[7640/10000]: param_kd=08, param_n=04, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[7641/10000]: param_kd=09, param_n=02, param_alpha=09, param_delta=0.100 -> accuracy=0.4
[7642/10000]: param_kd=08, param_n=09, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[7643/10000]: param_kd=08, param_n=08, param_alpha=06, param_delta=0.200 -> accuracy=0.4
[7644/10000]: param_kd=07, param_n=09, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[7645/10000]: param_kd=09, param_n=07, param_alpha=04, param_delta=0.700 -> accuracy=0.4
[7646/10000]: param_kd=08, param_n=01, param_alpha=04, param_delta=0.600 -> accuracy=0.4
[7647/10000]: param_kd=09, param_n=05, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[7648/10000]: param_kd=09, param_n=04, param_alpha=04, param_delta=0.200 -> accuracy=0.4
[7649/10000]: param_kd=09, param_n=02, param_alpha=09, param_delta=0.200 -> accuracy=0.4
[7650/10000]: param_kd=08, param_n=03, param_alpha=02, param_delta=0.900 -> accuracy=0.4
[7651/10000]: param_kd=09, param_n=01, param_alpha=05, param_delta=0.000 -> accuracy=0.4
[7652/10000]: param_kd=06, param_n=10, param_alpha=07, param_delta=0.100 -> accuracy=1.0
[7653/10000]: param_kd=09, param_n=02, param_alpha=09, param_delta=0.300 -> accuracy=0.4
[7654/10000]: param_kd=08, param_n=07, param_alpha=02, param_delta=0.800 -> accuracy=0.4
[7655/10000]: param_kd=09, param_n=02, param_alpha=09, param_delta=0.400 -> accuracy=0.4
[7656/10000]: param_kd=08, param_n=05, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[7657/10000]: param_kd=08, param_n=01, param_alpha=04, param_delta=0.700 -> accuracy=0.4
[7658/10000]: param_kd=08, param_n=04, param_alpha=06, param_delta=0.000 -> accuracy=0.4
[7659/10000]: param_kd=09, param_n=07, param_alpha=04, param_delta=0.800 -> accuracy=0.4
[7660/10000]: param_kd=07, param_n=08, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[7661/10000]: param_kd=09, param_n=02, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[7662/10000]: param_kd=08, param_n=03, param_alpha=03, param_delta=0.000 -> accuracy=0.4
[7663/10000]: param_kd=09, param_n=01, param_alpha=05, param_delta=0.100 -> accuracy=0.4
[7664/10000]: param_kd=09, param_n=08, param_alpha=10, param_delta=0.300 -> accuracy=0.4
[7665/10000]: param_kd=08, param_n=09, param_alpha=09, param_delta=0.600 -> accuracy=0.4
[7666/10000]: param_kd=08, param_n=08, param_alpha=06, param_delta=0.300 -> accuracy=0.4
[7667/10000]: param_kd=07, param_n=09, param_alpha=09, param_delta=0.600 -> accuracy=0.4
[7668/10000]: param_kd=09, param_n=04, param_alpha=04, param_delta=0.300 -> accuracy=0.4
[7669/10000]: param_kd=09, param_n=02, param_alpha=09, param_delta=0.600 -> accuracy=0.4
[7670/10000]: param_kd=09, param_n=05, param_alpha=09, param_delta=0.900 -> accuracy=0.4
[7671/10000]: param_kd=09, param_n=02, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[7672/10000]: param_kd=08, param_n=07, param_alpha=02, param_delta=0.900 -> accuracy=0.4
[7673/10000]: param_kd=09, param_n=05, param_alpha=10, param_delta=0.000 -> accuracy=0.4
[7674/10000]: param_kd=08, param_n=01, param_alpha=04, param_delta=0.800 -> accuracy=0.4
[7675/10000]: param_kd=09, param_n=02, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[7676/10000]: param_kd=09, param_n=07, param_alpha=04, param_delta=0.900 -> accuracy=0.4
[7677/10000]: param_kd=09, param_n=05, param_alpha=10, param_delta=0.100 -> accuracy=0.4
[7678/10000]: param_kd=08, param_n=04, param_alpha=06, param_delta=0.100 -> accuracy=0.4
[7679/10000]: param_kd=09, param_n=01, param_alpha=05, param_delta=0.200 -> accuracy=0.4
[7680/10000]: param_kd=08, param_n=05, param_alpha=09, param_delta=0.600 -> accuracy=0.4
[7681/10000]: param_kd=08, param_n=03, param_alpha=03, param_delta=0.100 -> accuracy=0.4
[7682/10000]: param_kd=07, param_n=08, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[7683/10000]: param_kd=06, param_n=10, param_alpha=07, param_delta=0.200 -> accuracy=1.0
[7684/10000]: param_kd=09, param_n=02, param_alpha=09, param_delta=0.900 -> accuracy=0.4
[7685/10000]: param_kd=09, param_n=05, param_alpha=10, param_delta=0.200 -> accuracy=0.4
[7686/10000]: param_kd=09, param_n=02, param_alpha=10, param_delta=0.000 -> accuracy=0.4
[7687/10000]: param_kd=08, param_n=09, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[7688/10000]: param_kd=08, param_n=08, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[7689/10000]: param_kd=08, param_n=01, param_alpha=04, param_delta=0.900 -> accuracy=0.4
[7690/10000]: param_kd=07, param_n=09, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[7691/10000]: param_kd=09, param_n=04, param_alpha=04, param_delta=0.400 -> accuracy=0.4
[7692/10000]: param_kd=08, param_n=07, param_alpha=03, param_delta=0.000 -> accuracy=0.4
[7693/10000]: param_kd=09, param_n=02, param_alpha=10, param_delta=0.100 -> accuracy=0.4
[7694/10000]: param_kd=09, param_n=08, param_alpha=10, param_delta=0.400 -> accuracy=0.4
[7695/10000]: param_kd=08, param_n=01, param_alpha=05, param_delta=0.000 -> accuracy=0.4
[7696/10000]: param_kd=09, param_n=07, param_alpha=05, param_delta=0.000 -> accuracy=0.4
[7697/10000]: param_kd=09, param_n=01, param_alpha=05, param_delta=0.300 -> accuracy=0.4
[7698/10000]: param_kd=09, param_n=02, param_alpha=10, param_delta=0.200 -> accuracy=0.4
[7699/10000]: param_kd=08, param_n=01, param_alpha=05, param_delta=0.100 -> accuracy=0.4
[7700/10000]: param_kd=08, param_n=04, param_alpha=06, param_delta=0.200 -> accuracy=0.4
[7701/10000]: param_kd=09, param_n=10, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[7702/10000]: param_kd=09, param_n=02, param_alpha=10, param_delta=0.300 -> accuracy=0.4
[7703/10000]: param_kd=07, param_n=08, param_alpha=05, param_delta=0.700 -> accuracy=0.4
[7704/10000]: param_kd=08, param_n=01, param_alpha=05, param_delta=0.200 -> accuracy=0.4
[7705/10000]: param_kd=08, param_n=05, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[7706/10000]: param_kd=08, param_n=01, param_alpha=05, param_delta=0.300 -> accuracy=0.4
[7707/10000]: param_kd=09, param_n=10, param_alpha=06, param_delta=0.000 -> accuracy=0.4
[7708/10000]: param_kd=09, param_n=02, param_alpha=10, param_delta=0.400 -> accuracy=0.4
[7709/10000]: param_kd=09, param_n=05, param_alpha=10, param_delta=0.300 -> accuracy=0.4
[7710/10000]: param_kd=09, param_n=04, param_alpha=04, param_delta=0.500 -> accuracy=0.4
[7711/10000]: param_kd=08, param_n=01, param_alpha=05, param_delta=0.400 -> accuracy=0.4
[7712/10000]: param_kd=09, param_n=01, param_alpha=05, param_delta=0.400 -> accuracy=0.4
[7713/10000]: param_kd=08, param_n=09, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[7714/10000]: param_kd=09, param_n=02, param_alpha=10, param_delta=0.500 -> accuracy=0.4
[7715/10000]: param_kd=08, param_n=08, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[7716/10000]: param_kd=07, param_n=09, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[7717/10000]: param_kd=09, param_n=10, param_alpha=06, param_delta=0.100 -> accuracy=0.4
[7718/10000]: param_kd=06, param_n=10, param_alpha=07, param_delta=0.300 -> accuracy=1.0
[7719/10000]: param_kd=08, param_n=01, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[7720/10000]: param_kd=09, param_n=02, param_alpha=10, param_delta=0.600 -> accuracy=0.4
[7721/10000]: param_kd=08, param_n=07, param_alpha=03, param_delta=0.100 -> accuracy=0.4
[7722/10000]: param_kd=07, param_n=08, param_alpha=05, param_delta=0.800 -> accuracy=0.4
[7723/10000]: param_kd=08, param_n=01, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[7724/10000]: param_kd=08, param_n=04, param_alpha=06, param_delta=0.300 -> accuracy=0.4
[7725/10000]: param_kd=09, param_n=10, param_alpha=06, param_delta=0.200 -> accuracy=0.4
[7726/10000]: param_kd=09, param_n=07, param_alpha=05, param_delta=0.100 -> accuracy=0.4
[7727/10000]: param_kd=09, param_n=08, param_alpha=10, param_delta=0.500 -> accuracy=0.4
[7728/10000]: param_kd=09, param_n=02, param_alpha=10, param_delta=0.700 -> accuracy=0.4
[7729/10000]: param_kd=08, param_n=01, param_alpha=05, param_delta=0.700 -> accuracy=0.4
[7730/10000]: param_kd=09, param_n=10, param_alpha=06, param_delta=0.300 -> accuracy=0.4
[7731/10000]: param_kd=09, param_n=01, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[7732/10000]: param_kd=08, param_n=01, param_alpha=05, param_delta=0.800 -> accuracy=0.4
[7733/10000]: param_kd=09, param_n=02, param_alpha=10, param_delta=0.800 -> accuracy=0.4
[7734/10000]: param_kd=09, param_n=04, param_alpha=04, param_delta=0.600 -> accuracy=0.4
[7735/10000]: param_kd=09, param_n=05, param_alpha=10, param_delta=0.400 -> accuracy=0.4
[7736/10000]: param_kd=08, param_n=05, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[7737/10000]: param_kd=08, param_n=01, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[7738/10000]: param_kd=09, param_n=10, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[7739/10000]: param_kd=09, param_n=02, param_alpha=10, param_delta=0.900 -> accuracy=0.4
[7740/10000]: param_kd=08, param_n=09, param_alpha=09, param_delta=0.900 -> accuracy=0.4
[7741/10000]: param_kd=07, param_n=09, param_alpha=09, param_delta=0.900 -> accuracy=0.4
[7742/10000]: param_kd=07, param_n=08, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[7743/10000]: param_kd=08, param_n=08, param_alpha=06, param_delta=0.600 -> accuracy=0.4
[7744/10000]: param_kd=08, param_n=01, param_alpha=06, param_delta=0.000 -> accuracy=0.4
[7745/10000]: param_kd=08, param_n=04, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[7746/10000]: param_kd=09, param_n=03, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[7747/10000]: param_kd=09, param_n=10, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[7748/10000]: param_kd=08, param_n=01, param_alpha=06, param_delta=0.100 -> accuracy=0.4
[7749/10000]: param_kd=07, param_n=09, param_alpha=10, param_delta=0.000 -> accuracy=0.4
[7750/10000]: param_kd=08, param_n=09, param_alpha=10, param_delta=0.000 -> accuracy=0.4
[7751/10000]: param_kd=09, param_n=01, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[7752/10000]: param_kd=09, param_n=03, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[7753/10000]: param_kd=08, param_n=01, param_alpha=06, param_delta=0.200 -> accuracy=0.4
[7754/10000]: param_kd=09, param_n=07, param_alpha=05, param_delta=0.200 -> accuracy=0.4
[7755/10000]: param_kd=08, param_n=07, param_alpha=03, param_delta=0.200 -> accuracy=0.4
[7756/10000]: param_kd=09, param_n=10, param_alpha=06, param_delta=0.600 -> accuracy=0.4
[7757/10000]: param_kd=09, param_n=04, param_alpha=04, param_delta=0.700 -> accuracy=0.4
[7758/10000]: param_kd=07, param_n=09, param_alpha=10, param_delta=0.100 -> accuracy=0.4
